[Alerta] PID 1 | CPU: 3.48 seg | Mem: 3096 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 16 | CPU: 8.77 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 17 | CPU: 18.20 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 24 | CPU: 2.18 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 30 | CPU: 11.14 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 36 | CPU: 6.91 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 41 | CPU: 5.90 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 51 | CPU: 23.01 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 68 | CPU: 177.25 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 197 | CPU: 4.87 seg | Mem: 0 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 237 | CPU: 7.62 seg | Mem: 21632 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 504 | CPU: 15.24 seg | Mem: 2560 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 505 | CPU: 2.10 seg | Mem: 3440 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 654 | CPU: 3.45 seg | Mem: 2816 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 656 | CPU: 4.55 seg | Mem: 6224 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 665 | CPU: 3.62 seg | Mem: 652 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 672 | CPU: 1.86 seg | Mem: 1920 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 684 | CPU: 16.93 seg | Mem: 7772 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1086 | CPU: 16.61 seg | Mem: 212 KB | IO R/W: 0/0 bytes | Razones: CPU 
[Alerta] PID 1305 | CPU: 2.38 seg | Mem: 3120 KB | IO R/W: 986365952/323739648 bytes | Razones: CPU IOR IOW 
[Alerta] PID 1314 | CPU: 5.90 seg | Mem: 3684 KB | IO R/W: 24694784/8192 bytes | Razones: CPU IOR 
